prediction,id,detail_id,messstelle,name,name_lang,gewaesser,bezirk,strasse,plz,stadt,gesundheitsamt_name,gesundheitsamt_zusatz,gesundheitsamt_strasse,gesundheitsamt_plz,gesundheitsamt_stadt,gesundheitsamt_mail,gesundheitsamt_telefon,wasserrettung_durch_hilfsorganisationen_dlrg_oder_asb,rettungsschwimmer,barrierefrei,barrierefrei_zugang,barrierefrei_wc,restaurant,imbiss,parken,cyano_moeglich,wc,wc_mobil,hundeverbot,name_lang2,lat,lng,image,state,date,sicht,temp
true,36,344351,B329,Kleine Badewiese,Badestelle Unterhavel / Kleine Badewiese,Unterhavel,Spandau,Am Wiesenhaus,14089,Berlin,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578,Berlin,Ges2@ba-spandau.berlin.de,030902794020,true,false,false,false,false,true,false,true,true,true,true,true,Badestelle Unterhavel / Kleine Badewiese,13.18595,52.48418,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-kleine_badewiese.jpg,gruen,2017-09-12,130,17.5
false,38,344328,B112,Kleiner Müggelsee,Badestelle Kleiner Müggelsee,Müggelsee,Treptow Köpenick,Gosener Damm 1,12559,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,true,false,false,false,false,false,false,false,true,false,false,true,Badestelle Kleiner Müggelsee,13.67762,52.42822,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-kleiner_m__ggelsee2.jpg,gruen,2017-09-05,230,19.2
false,40,344355,B950,Krumme Lanke,Badestelle Krumme Lanke,Grunewaldseen,Steglitz Zehlendorf,Fischerhüttenstraße/ Elvirasteig,14163,Berlin,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169,Berlin,hygiene@ba-sz.berlin.de,030902993624,false,false,false,false,false,false,true,true,false,false,true,true,Badestelle Krumme Lanke,13.23242,52.45219,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/img_0179.jpg,gruen,2017-09-06,NaN,21.2
false,42,344358,B331,Lieper Bucht,Badestelle Lieper Bucht,Unterhavel,Steglitz Zehlendorf,Lindwerder,14193,Berlin,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169,Berlin,hygiene@ba-sz.berlin.de,030902993624,true,false,false,false,false,false,false,true,true,false,true,true,Badestelle Lieper Bucht,13.19672,52.46933,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-lieperbucht1.jpg,gruen,2017-09-12,140,17.5
false,44,344336,B926,Lübars,Freibad Lübars,Ziegeleisee,Reinickendorf,Am Freibad 10,13469,Berlin,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407,Berlin,gesundheitsamt@reinickendorf.berlin.de,030902945068,false,true,true,true,false,false,true,true,true,true,false,true,Freibad Lübars,13.33605,52.61795,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-l__bars.jpg,gruen,2017-09-07,180,19.6
false,46,344329,B116,Müggelsee,Strandbad Müggelsee,Müggelsee,Treptow Köpenick,Fürstenwalder Damm 838,12589,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,true,false,false,false,false,false,true,true,true,true,false,true,Strandbad Müggelsee,13.67590,52.44472,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-strandbad_m__ggelsee.jpg,gruen,2017-09-05,NaN,19.4
false,48,347246,B911,Orankesee,Strandbad Orankesee,Orankesee,Lichtenberg,Gertrudstraße 7,13053,Berlin,Bezirksamt Lichtenberg von Berlin,"Abteilung Jugend und Gesundheit, Gesundheitsamt",Alfred-Kowalke-Str. 24,10360,Berlin,hygiene@lichtenberg.berlin.de,030902967552,false,false,true,true,false,false,true,true,true,true,false,true,Strandbad Orankesee,13.48425,52.54960,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/orankesee.jpg,gruen,2017-09-13,280,17.5
false,50,344353,B915,Plötzensee,Freibad Plötzensee,Plötzensee,Mitte,Nordufer 24,13351,Berlin,Bezirksamt Mitte von Berlin,"Abteilung Gesundheit, Gesundheitsamt, Hygiene und Umweltmedizin",Mathilde-Jacob-Platz 1,10551,Berlin,hygiene-umwelt@ba-mitte.berlin.de,030901833208,false,true,false,false,false,false,true,true,true,true,false,true,Freibad Plötzensee,13.32923,52.54360,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-pl__tzensee.jpg,gruen,2017-09-07,130,19.4
false,52,344357,B336,Radfahrerwiese,Badestelle Radfahrerwiese,Unterhavel,Steglitz Zehlendorf,Havelchaussee 92 B,14193,Berlin,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169,Berlin,hygiene@ba-sz.berlin.de,030902993624,true,false,false,false,false,false,false,true,true,false,false,true,Badestelle Radfahrerwiese,13.18963,52.45861,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-radfahrerwiese.jpg,gruen,2017-09-12,140,17.6
false,54,344341,B302,Sandhauser Straße,Badestelle Sandhauser Str.,Oberhavel,Reinickendorf,Sandhauser Straße 57,13505,Berlin,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407,Berlin,gesundheitsamt@reinickendorf.berlin.de,030902945068,true,false,false,false,false,false,false,false,true,false,true,true,Badestelle Sandhauser Str.,13.22087,52.59457,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/070503-sandhauser-str5.jpg,gruen,2017-09-11,140,17.2
false,56,344356,B955,Schlachtensee,Badestelle Schlachtensee,Grunewaldseen,Steglitz Zehlendorf,Elvirasteig Ecke Schillerstraße,14163,Berlin,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169,Berlin,hygiene@ba-sz.berlin.de,030902993624,false,false,false,false,false,true,true,true,false,false,true,true,Badestelle Schlachtensee,13.21713,52.44336,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/img_1781.jpg,gruen,2017-09-06,NaN,20.9
false,58,344331,B215,Schmöckwitz,Badestelle Schmöckwitz,Dahme,Treptow Köpenick,Schmöckwitzer Damm,12527,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,true,false,false,false,false,false,false,false,true,false,false,true,Badestelle Schmöckwitz,13.65329,52.37324,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/p1020546.jpg,gruen,2017-09-05,40,19.8
false,60,344332,B220,Seddinsee,Seddinsee (Mitte),Dahme,Treptow Köpenick,Seddinpromenade,12527,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,false,false,false,false,false,false,false,true,true,false,false,true,Seddinsee (Mitte),13.68549,52.38720,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-seddinsee.jpg,gruen,2017-09-05,100,19.7
false,62,344343,B309,Tegeler See,Freibad Tegeler See,Tegeler See,Reinickendorf,Schwarzer Weg 21,13505,Berlin,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407,Berlin,gesundheitsamt@reinickendorf.berlin.de,030902945068,false,false,false,false,false,false,false,true,false,true,false,true,Freibad Tegeler See,13.24528,52.57784,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-070503_tegeler_see11.jpg,gruen,2017-09-11,250,18.2
false,64,344345,B312,Reiswerder,Badestelle gegenüber Reiswerder,Tegeler See,Reinickendorf,Bernauer Straße,13507,Berlin,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407,Berlin,gesundheitsamt@reinickendorf.berlin.de,030902945068,true,false,false,false,false,false,false,true,false,false,true,true,Badestelle gegenüber Reiswerder,13.25602,52.56819,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0025.jpg,gruen,2017-09-11,NaN,17.7
false,66,344348,B311,Scharfenberg,Badestelle gegenüber Scharfenberg,Tegeler See,Reinickendorf,Scharfenberg gegenüber Insel,13505,Berlin,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407,Berlin,gesundheitsamt@reinickendorf.berlin.de,030902945068,true,false,false,false,false,false,false,false,false,false,true,true,Badestelle gegenüber Scharfenberg,13.24425,52.57572,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0012.jpg,gruen,2017-09-11,NaN,18.2
false,68,344344,B314,Reiherwerder,Badestelle Reiherwerder,Tegeler See,Reinickendorf,Schwarzer Weg,13505,Berlin,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407,Berlin,gesundheitsamt@reinickendorf.berlin.de,030902945068,true,false,false,false,false,false,false,true,false,false,true,true,Badestelle Reiherwerder,13.25519,52.58564,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0015.jpg,gruen,2017-09-11,200,18.1
false,70,344349,B313,Saatwinkel,"Tegeler See, Saatwinkel",Tegeler See,Spandau,Im Saatwinkel 65,13599,Berlin,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578,Berlin,Ges2@ba-spandau.berlin.de,030902794020,true,false,false,false,false,false,true,true,false,false,true,true,"Tegeler See, Saatwinkel",13.24684,52.56216,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0029.jpg,gruen,2017-09-11,NaN,18
false,72,344363,B936,Teufelssee,Badestelle Teufelssee,Grunewaldseen,Charlottenburg-Wilmersdorf,Teufelsseechaussee 28,14193,Berlin,Bezirksamt Charlottenburg-Wilmersdorf von Berlin,"Abteilung Soziales, Gesundheit und Umwelt, Gesundheitsamt",Hohenzollerndamm 174-177,10713,Berlin,hygiene@charlottenburg-wilmersdorf.de,030902916161,true,false,false,false,false,false,false,false,true,false,false,true,Badestelle Teufelssee,13.23450,52.49061,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/mdb-lagetsi-badegewaesser-43_200x150.jpg,gruen,2017-09-06,NaN,19.3
false,74,344361,B350,Wannsee,Strandbad Wannsee,Unterhavel,Steglitz Zehlendorf,Wannseebadweg 25,14129,Berlin,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169,Berlin,hygiene@ba-sz.berlin.de,030902993624,true,true,true,true,true,false,true,true,true,true,false,true,Strandbad Wannsee,13.17680,52.43890,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-wannsee1.jpg,gruen,2017-08-29,130,21.4
false,76,344318,B910,Weißer See,Seebadeanstalt am Weißensee,Weißer See,Pankow,Berliner Allee 174,13088,Berlin,Bezirksamt Pankow von Berlin,"Abt. Soziales, Gesundheit, Schule und Sport, Gesundheitsamt",Grunowstr. 8-11,13187,Berlin,geshum@ba-pankow.berlin.de,030902952869,false,false,false,false,false,false,true,false,true,true,false,true,Seebadeanstalt am Weißensee,13.46559,52.55396,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-wei__ensee2.jpg,gruen,2017-09-13,NaN,17.6
false,78,344333,B227,Wendenschloß,Freibad Wendenschloss,Dahme,Treptow Köpenick,Möllhausenufer 30,12557,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,false,true,false,false,false,true,false,false,undefined,true,false,true,Freibad Wendenschloss,13.60032,52.41514,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-wendenschloss.jpg,gruen,2017-09-05,60,20
