id,detail_id,messstelle,name,name_lang,gewaesser,bezirk,strasse,plz,stadt,webseite,gesundheitsamt_name,gesundheitsamt_zusatz,gesundheitsamt_strasse,gesundheitsamt_plz,gesundheitsamt_stadt,gesundheitsamt_mail,gesundheitsamt_telefon,wasserrettung_durch_hilfsorganisationen_dlrg_oder_asb,rettungsschwimmer,barrierefrei,barrierefrei_zugang,barrierefrei_wc,restaurant,imbiss,parken,cyano_moeglich,wc,wc_mobil,hundeverbot,name_lang2,lat,lng,image,letzte_eu_einstufung,prediction,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,state,date
34,344352,B922,Jungfernheide,Freibad Jungfernheide,Jungfernheidesee,Charlottenburg-Wilmersdorf,Jungfernheideweg 60,13629.0,Berlin,https://www.strandbad-jungfernheide.de/,Bezirksamt Charlottenburg-Wilmersdorf von Berlin,"Abteilung Soziales, Gesundheit und Umwelt, Gesundheitsamt",Hohenzollerndamm 174-177,10713.0,Berlin,hygiene@charlottenburg-wilmersdorf.de,30902916161.0,0,1,0,0,1,0,1,1,1,1,0,1,Freibad Jungfernheide,13.27467,52.54371,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/img_0766.jpg,ausgezeichnet,null,140,46,45,"18,70",,<300,gruen,2017-09-07
50,344353,B915,Plötzensee,Freibad Plötzensee,Plötzensee,Mitte,Nordufer 24,13351.0,Berlin,http://www.strandbad-ploetzensee.de/,Bezirksamt Mitte von Berlin,"Abteilung Gesundheit, Gesundheitsamt, Hygiene und Umweltmedizin",Mathilde-Jacob-Platz 1,10551.0,Berlin,hygiene-umwelt@ba-mitte.berlin.de,30901833208.0,0,1,0,0,0,0,1,1,1,1,0,1,Freibad Plötzensee,13.32923,52.5436,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-pl__tzensee.jpg,ausgezeichnet,null,130,<15,<15,"19,40",,<300,gruen,2017-09-07
40,344355,B950,Krumme Lanke,Badestelle Krumme Lanke,Grunewaldseen,Steglitz Zehlendorf,Fischerhüttenstraße/ Elvirasteig,14163.0,Berlin,keine Webseite verfügbar,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169.0,Berlin,hygiene@ba-sz.berlin.de,30902993624.0,0,0,0,0,0,0,1,1,0,0,1,1,Badestelle Krumme Lanke,13.23242,52.45219,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/img_0179.jpg,ausgezeichnet,null,>200,77,<15,"21,20",,360,gruen,2017-09-06
56,344356,B955,Schlachtensee,Badestelle Schlachtensee,Grunewaldseen,Steglitz Zehlendorf,Elvirasteig Ecke Schillerstraße,14163.0,Berlin,keine Webseite verfügbar,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169.0,Berlin,hygiene@ba-sz.berlin.de,30902993624.0,0,0,0,0,0,1,1,1,0,0,1,1,Badestelle Schlachtensee,13.21713,52.44336,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/img_1781.jpg,ausgezeichnet,null,>200,<15,30,"20,90",,<300,gruen,2017-09-06
72,344363,B936,Teufelssee,Badestelle Teufelssee,Grunewaldseen,Charlottenburg-Wilmersdorf,Teufelsseechaussee 28,14193.0,Berlin,keine Webseite verfügbar,Bezirksamt Charlottenburg-Wilmersdorf von Berlin,"Abteilung Soziales, Gesundheit und Umwelt, Gesundheitsamt",Hohenzollerndamm 174-177,10713.0,Berlin,hygiene@charlottenburg-wilmersdorf.de,30902916161.0,1,0,0,0,0,0,0,0,1,0,0,1,Badestelle Teufelssee,13.2345,52.49061,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/mdb-lagetsi-badegewaesser-43_200x150.jpg,ausgezeichnet,null,>100,<15,<15,"19,30",,360,gruen,2017-09-06
30,468922,B930a,Halensee,Halensee Steg am Restaurant,Halensee,Charlottenburg-Wilmersdorf,Königsallee 5a-b,14193.0,Berlin,http://kudamm-beach.de/de/schwimmen-am-kudamm-beach/,Bezirksamt Charlottenburg-Wilmersdorf von Berlin,"Abteilung Soziales, Gesundheit und Umwelt, Gesundheitsamt",Hohenzollerndamm 174-177,10713.0,Berlin,hygiene@charlottenburg-wilmersdorf.de,30902916161.0,0,0,0,0,0,1,1,0,1,1,0,1,Halensee Steg am Restaurant,13.28184,52.49453,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/halensee_freibad.jpg,ausgezeichnet,null,120,<15,<15,"20,70",,<300,gruen,2017-09-06
4,344320,B225,Bammelecke,Badestelle Bammelecke,Dahme,Treptow Köpenick,Sportpromenade 1,12527.0,Berlin,keine Webseite verfügbar,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,1,0,0,0,0,0,0,0,1,0,0,1,Badestelle Bammelecke,13.62254,52.4075,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-bammelecke.jpg,ausgezeichnet,null,60,<15,15,"20,10",,<300,gruen,2017-09-05
10,344321,B105,Dämeritzsee,Badestelle Dämeritzsee,Dämeritzsee,Treptow Köpenick,Kanalstraße,12589.0,Berlin,keine Webseite verfügbar,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,0,0,0,0,0,0,0,0,1,0,0,1,Badestelle Dämeritzsee,13.73511,52.42692,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-d__meritzsee.jpg,ausgezeichnet,null,120,15,<15,"18,60",,<300,gruen,2017-09-05
14,344322,B118,Friedrichshagen,Seebad Friedrichshagen,Müggelsee,Treptow Köpenick,Müggelseedamm 216,12587.0,Berlin,http://www.seebad-friedrichshagen.de/,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,1,0,0,0,0,0,1,0,1,1,0,1,Seebad Friedrichshagen,13.63069,52.44584,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-friedrichshagen1.jpg,ausgezeichnet,null,200,<15,<15,"19,60",,<300,gruen,2017-09-05
16,344323,B230,Gartenstraße,Flussbad Gartenstrasse,Dahme,Treptow Köpenick,Gartenstraße 42,12557.0,Berlin,http://www.hotel-pension-berlin.eu/,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,0,0,0,0,0,1,0,0,1,1,0,1,Flussbad Gartenstrasse,13.57573,52.44094,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gartenstra__e2.jpg,ausgezeichnet,null,80,<15,<15,"20,40",,<300,gruen,2017-09-05
26,344325,B226,Grünau,Freibad Grünau,Dahme,Treptow Köpenick,Sportpromenade 15,12527.0,Berlin,http://www.xn--strandbad-grnau-bwb.de/,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,1,1,1,1,0,1,1,0,1,1,1,1,Freibad Grünau,13.60721,52.40898,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gr__nau1.jpg,ausgezeichnet,null,60,<15,<15,"20,10",,<300,gruen,2017-09-05
22,344326,B224,Große Krampe,Große Krampe,Dahme,Treptow Köpenick,Gosener Damm,12559.0,Berlin,keine Webseite verfügbar,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,0,0,0,0,0,0,0,0,1,1,0,1,Große Krampe ,13.65238,52.38949,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gro__e_krampe2.jpg,ausgezeichnet,null,80,<15,15,"20,30",,<300,gruen,2017-09-05
38,344328,B112,Kleiner Müggelsee,Badestelle Kleiner Müggelsee,Müggelsee,Treptow Köpenick,Gosener Damm 1,12559.0,Berlin,keine Webseite verfügbar,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,1,0,0,0,0,0,0,0,1,0,0,1,Badestelle Kleiner Müggelsee,13.67762,52.42822,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-kleiner_m__ggelsee2.jpg,ausgezeichnet,null,230,30,<15,"19,20",,<300,gruen,2017-09-05
46,344329,B116,Müggelsee,Strandbad Müggelsee,Müggelsee,Treptow Köpenick,Fürstenwalder Damm 838,12589.0,Berlin,http://www.strandbad-mueggelsee.de/,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,1,0,0,0,0,0,1,1,1,1,0,1,Strandbad Müggelsee,13.6759,52.44472,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-strandbad_m__ggelsee.jpg,ausgezeichnet,null,>280,30,<15,"19,40",,<300,gruen,2017-09-05
58,344331,B215,Schmöckwitz,Badestelle Schmöckwitz,Dahme,Treptow Köpenick,Schmöckwitzer Damm,12527.0,Berlin,keine Webseite verfügbar,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,1,0,0,0,0,0,0,0,1,0,0,1,Badestelle Schmöckwitz,13.65329,52.37324,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/p1020546.jpg,ausgezeichnet,null,40,<15,<15,"19,80",A,<300,gruen_a,2017-09-05
60,344332,B220,Seddinsee,Seddinsee (Mitte),Dahme,Treptow Köpenick,Seddinpromenade,12527.0,Berlin,keine Webseite verfügbar,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,0,0,0,0,0,0,0,1,1,0,0,1,Seddinsee (Mitte),13.68549,52.3872,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-seddinsee.jpg,ausgezeichnet,null,100,<15,<15,"19,70",,<300,gruen,2017-09-05
78,344333,B227,Wendenschloß,Freibad Wendenschloss,Dahme,Treptow Köpenick,Möllhausenufer 30,12557.0,Berlin,http://www.strandbad-wendenschloss.de/,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489.0,Berlin,geshum@ba-tk.berlin.de,30902974773.0,0,1,0,0,0,1,0,0,1,1,0,1,Freibad Wendenschloss,13.60032,52.41514,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-wendenschloss.jpg,ausgezeichnet,null,60,<15,15,"20,00",,360,gruen,2017-09-05
20,344338,B962,Groß Glienicker See Süd,Badestelle Groß Glienicker See / südlich,Groß-Glienicker See,Spandau,Im Dohl,14089.0,Berlin,keine Webseite verfügbar,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578.0,Berlin,Ges2@ba-spandau.berlin.de,30902794020.0,1,0,0,0,0,0,0,1,0,0,1,1,Badestelle Groß Glienicker See / südlich,13.11463,52.46036,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gro___glienicker_see_s__dlich.jpg,ausgezeichnet,null,>150,<15,<15,"20,70",,<300,gruen,2017-09-04
18,344340,B961,Groß Glienicker See Nord,Badestelle Groß Glienicker See / nördlich,Groß-Glienicker See,Spandau,Uferpromenade 9,14089.0,Berlin,keine Webseite verfügbar,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578.0,Berlin,Ges2@ba-spandau.berlin.de,30902794020.0,1,0,0,0,0,0,0,1,0,0,1,1,Badestelle Groß Glienicker See / nördlich,13.11857,52.47175,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-grossglienicke_nord.jpg,ausgezeichnet,null,>150,<15,<15,"20,30",,<300,gruen,2017-09-04
